Name,Description,Latitude,Longitude,Category
Beachy Head,Самый высокий мел. мыс Англии — панорамные виды на Ла-Манш,50.7366,0.2492,Скалы и побережье
Birling Gap,Пляж у подножия клиффов — рок-пулы при отливе,50.7372,0.2051,Скалы и побережье
Belle Tout Lighthouse,Заброшенный маяк на краю утёса — круговой маршрут,50.7361,0.2147,Скалы и побережье
Seaford Head Nature Reserve,Меловой мыс с видом на Cuckmere Haven — природный заповедник,50.7445,0.1128,Скалы и побережье
Hope Gap,Скрытый пляж под клиффами — доступен только пешком,50.7420,0.1080,Скалы и побережье
Cuckmere Haven,Пляж у устья реки Cuckmere — без дороги для машин,50.7354,0.1592,Скалы и побережье
Cuckmere Valley meanders,Знаменитые меандры реки с видом сверху — Exceat,50.7560,0.1665,Долина Cuckmere
Cuckmere River (Alfriston),Пешеходный маршрут по долине от Alfriston вниз к морю,50.8025,0.2000,Долина Cuckmere
Exceat Country Park,Центр парка — стартовая точка маршрутов по долине,50.7641,0.1622,Долина Cuckmere
East Dean,Деревня у подножия клиффов — паб The Tiger Inn,50.7503,0.2050,Деревни
Alfriston,Средневековая деревня на Cuckmere — рыночный крест и тисовый сад,50.8026,0.2012,Деревни
Litlington,Крохотная деревня на берегу реки — чайный сад,50.7816,0.1787,Деревни
Westdean,Уединённая деревня у края Friston Forest,50.7618,0.1556,Деревни
Friston,Деревня на Даунс с прудом — ворота в Friston Forest,50.7659,0.1938,Деревни
Jevington,Деревня в долине между двумя грядами Даунс,50.7797,0.2360,Деревни
Wilmington,Деревня у подножия Windover Hill — рядом Длинный человек,50.8060,0.2090,Деревни
Berwick,Деревня с церковью с фресками Bloomsbury Group,50.8240,0.1884,Деревни
Southease,Крошечная деревня на реке Ouse — нормандская круглая башня,50.8196,0.0360,Деревни
Rodmell,Деревня на Ouse — дом Вирджинии Вулф Monk's House,50.8184,0.0468,Деревни
Glynde,Деревня у подножия Firle Beacon — усадьба Glynde Place,50.8597,0.0783,Деревни
Bishopstone,Деревня с саксонской церковью у реки Ouse,50.7797,0.0597,Деревни
Firle,Деревня у Firle Beacon — поместье Firle Place,50.8492,0.1240,Деревни
Alciston,Деревня с гигантским средневековым тиф-барном,50.8372,0.1528,Деревни
Firle Beacon,Высшая точка этого участка Даунс — виды на 360°,50.8430,0.1436,Вершины и хребты
Windover Hill,Плато над Wilmington с видом на долину Cuckmere,50.8090,0.2075,Вершины и хребты
Long Man of Wilmington,Меловая фигура 70 м на склоне холма — видна издалека,50.8073,0.2083,Вершины и хребты
Butts Brow,Видовая точка над Eastbourne — меловые Даунс,50.7913,0.2552,Вершины и хребты
Crowlink,Участок NT на краю клиффов между Birling Gap и Cuckmere,50.7499,0.1783,Вершины и хребты
Friston Forest,Лес на меловом плато — тихие прогулочные тропы,50.7672,0.1687,Леса и заповедники
Lullington Heath NNR,Самый большой меловой пустошный заповедник — орхидеи летом,50.7893,0.1869,Леса и заповедники
Arlington Reservoir,Водохранилище с круговым маршрутом — зимовье птиц,50.8551,0.2054,Леса и заповедники
Pevensey Levels,Заповедные болота к востоку — редкие птицы и насекомые,50.8350,0.3500,Леса и заповедники
Charleston Farmhouse,Дом художников Bloomsbury Group — сад и роспись стен,50.8379,0.1748,Усадьбы
Michelham Priory,Средневековый приорат в кольце рва — сады на острове,50.8677,0.2437,Усадьбы
Alfriston Clergy House,Первое здание NT в Англии — средневековый дом с садом,50.8023,0.2012,Усадьбы
Monk's House Rodmell,Загородный дом Вирджинии Вулф — сад с видом на Ouse,50.8178,0.0478,Усадьбы
Seaford station,Ст. Seaford (Southern Rail от London Bridge ~1:15),50.7737,0.1025,Транспорт
Lewes station,Ст. Lewes (Thameslink/Southern от London Bridge ~1:00),50.8708,0.0145,Транспорт
Eastbourne station,Ст. Eastbourne (Southern от London Bridge ~1:30),50.7693,0.2833,Транспорт
